Problem_Name,Problem_Category,Ministry,Minister_Name,Days_To_Complete
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,20
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,12
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,19
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,11
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,11
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,18
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,16
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,17
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,19
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,17
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,17
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,17
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,19
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,19
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,15
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,14
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,18
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,12
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,12
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,15
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,19
Lack of sports equipment,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,19
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,8
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,6
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,5
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,6
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,8
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,3
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,7
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,12
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,4
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,6
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,10
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,10
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,4
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,6
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,4
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,7
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,8
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,8
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,10
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,10
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,5
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,11
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,12
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,6
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,5
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,10
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,8
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,9
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,8
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,10
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,12
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,9
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,3
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,4
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,12
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,9
Village drainage issue,rural development,minister for rural development,K R Periakaruppan,8
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,23
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,20
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,24
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,21
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,17
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,24
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,21
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,21
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,17
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,23
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,22
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,21
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,19
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,17
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,21
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,16
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,18
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,18
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,23
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,18
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,22
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,15
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,16
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,23
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,15
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,23
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,22
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,22
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,22
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,21
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,22
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,23
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,23
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,21
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,20
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,19
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,22
Electricity connection delay,electricity,"minister for electricity, prohibition and excise",V Senthilbalaji,23
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,30
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,34
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,29
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,29
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,27
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,29
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,32
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,31
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,27
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,31
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,31
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,29
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,26
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,31
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,32
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,34
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,34
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,33
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,30
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,29
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,31
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,25
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,34
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,33
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,28
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,26
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,26
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,32
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,29
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,28
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,33
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,30
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,34
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,33
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,28
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,27
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,32
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,27
Industrial pollution complaint,industries,minister for industries,Thangam Thennarasu,31
Poor bus service,transport,minister for transport,SR Rajakannappan,11
Poor bus service,transport,minister for transport,SR Rajakannappan,12
Poor bus service,transport,minister for transport,SR Rajakannappan,13
Poor bus service,transport,minister for transport,SR Rajakannappan,12
Poor bus service,transport,minister for transport,SR Rajakannappan,15
Poor bus service,transport,minister for transport,SR Rajakannappan,10
Poor bus service,transport,minister for transport,SR Rajakannappan,19
Poor bus service,transport,minister for transport,SR Rajakannappan,14
Poor bus service,transport,minister for transport,SR Rajakannappan,11
Poor bus service,transport,minister for transport,SR Rajakannappan,16
Poor bus service,transport,minister for transport,SR Rajakannappan,19
Poor bus service,transport,minister for transport,SR Rajakannappan,12
Poor bus service,transport,minister for transport,SR Rajakannappan,13
Poor bus service,transport,minister for transport,SR Rajakannappan,11
Poor bus service,transport,minister for transport,SR Rajakannappan,17
Poor bus service,transport,minister for transport,SR Rajakannappan,13
Poor bus service,transport,minister for transport,SR Rajakannappan,14
Poor bus service,transport,minister for transport,SR Rajakannappan,16
Poor bus service,transport,minister for transport,SR Rajakannappan,11
Poor bus service,transport,minister for transport,SR Rajakannappan,17
Poor bus service,transport,minister for transport,SR Rajakannappan,11
Poor bus service,transport,minister for transport,SR Rajakannappan,12
Poor bus service,transport,minister for transport,SR Rajakannappan,18
Poor bus service,transport,minister for transport,SR Rajakannappan,15
Poor bus service,transport,minister for transport,SR Rajakannappan,13
Poor bus service,transport,minister for transport,SR Rajakannappan,12
Poor bus service,transport,minister for transport,SR Rajakannappan,12
Poor bus service,transport,minister for transport,SR Rajakannappan,19
Poor bus service,transport,minister for transport,SR Rajakannappan,13
Poor bus service,transport,minister for transport,SR Rajakannappan,12
Poor bus service,transport,minister for transport,SR Rajakannappan,11
Poor bus service,transport,minister for transport,SR Rajakannappan,11
Poor bus service,transport,minister for transport,SR Rajakannappan,14
Poor bus service,transport,minister for transport,SR Rajakannappan,19
Poor bus service,transport,minister for transport,SR Rajakannappan,16
Poor bus service,transport,minister for transport,SR Rajakannappan,15
Poor bus service,transport,minister for transport,SR Rajakannappan,18
Poor bus service,transport,minister for transport,SR Rajakannappan,10
Poor bus service,transport,minister for transport,SR Rajakannappan,19
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,23
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,17
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,23
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,22
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,24
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,22
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,20
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,23
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,17
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,24
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,22
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,19
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,16
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,24
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,22
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,20
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,17
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,15
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,22
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,16
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,21
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,20
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,24
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,15
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,20
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,17
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,19
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,18
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,22
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,19
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,17
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,18
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,22
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,23
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,19
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,22
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,15
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,18
Price control complaint,food,minister for food and civil supplies,R Sakkarapani,21
Legal service delay,law,minister for law,S Raghupathy,14
Legal service delay,law,minister for law,S Raghupathy,15
Legal service delay,law,minister for law,S Raghupathy,14
Legal service delay,law,minister for law,S Raghupathy,14
Legal service delay,law,minister for law,S Raghupathy,14
Legal service delay,law,minister for law,S Raghupathy,15
Legal service delay,law,minister for law,S Raghupathy,14
Legal service delay,law,minister for law,S Raghupathy,22
Legal service delay,law,minister for law,S Raghupathy,22
Legal service delay,law,minister for law,S Raghupathy,17
Legal service delay,law,minister for law,S Raghupathy,21
Legal service delay,law,minister for law,S Raghupathy,16
Legal service delay,law,minister for law,S Raghupathy,13
Legal service delay,law,minister for law,S Raghupathy,21
Legal service delay,law,minister for law,S Raghupathy,20
Legal service delay,law,minister for law,S Raghupathy,17
Legal service delay,law,minister for law,S Raghupathy,17
Legal service delay,law,minister for law,S Raghupathy,17
Legal service delay,law,minister for law,S Raghupathy,21
Legal service delay,law,minister for law,S Raghupathy,18
Legal service delay,law,minister for law,S Raghupathy,20
Legal service delay,law,minister for law,S Raghupathy,14
Legal service delay,law,minister for law,S Raghupathy,16
Legal service delay,law,minister for law,S Raghupathy,19
Legal service delay,law,minister for law,S Raghupathy,18
Legal service delay,law,minister for law,S Raghupathy,14
Legal service delay,law,minister for law,S Raghupathy,20
Legal service delay,law,minister for law,S Raghupathy,18
Legal service delay,law,minister for law,S Raghupathy,14
Legal service delay,law,minister for law,S Raghupathy,18
Damaged government bus,transport,minister for transport,SR Rajakannappan,3
Damaged government bus,transport,minister for transport,SR Rajakannappan,7
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,7
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,6
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,3
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,3
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,4
Damaged government bus,transport,minister for transport,SR Rajakannappan,6
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,5
Damaged government bus,transport,minister for transport,SR Rajakannappan,4
Damaged government bus,transport,minister for transport,SR Rajakannappan,2
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,3
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,6
Damaged government bus,transport,minister for transport,SR Rajakannappan,5
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,5
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Damaged government bus,transport,minister for transport,SR Rajakannappan,3
Damaged government bus,transport,minister for transport,SR Rajakannappan,5
Damaged government bus,transport,minister for transport,SR Rajakannappan,1
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,11
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,16
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,14
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,12
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,12
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,10
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,14
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,19
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,11
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,15
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,13
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,10
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,13
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,14
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,14
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,12
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,19
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,14
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,18
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,11
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,19
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,19
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,10
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,19
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,17
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,13
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,10
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,14
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,18
Tourist place cleanliness issue,tourism,minister for tourism,M Mathiventhan,15
Road widening request,roads,minister for public works,E V Velu,10
Road widening request,roads,minister for public works,E V Velu,16
Road widening request,roads,minister for public works,E V Velu,18
Road widening request,roads,minister for public works,E V Velu,16
Road widening request,roads,minister for public works,E V Velu,13
Road widening request,roads,minister for public works,E V Velu,18
Road widening request,roads,minister for public works,E V Velu,10
Road widening request,roads,minister for public works,E V Velu,14
Road widening request,roads,minister for public works,E V Velu,12
Road widening request,roads,minister for public works,E V Velu,14
Road widening request,roads,minister for public works,E V Velu,12
Road widening request,roads,minister for public works,E V Velu,10
Road widening request,roads,minister for public works,E V Velu,16
Road widening request,roads,minister for public works,E V Velu,13
Road widening request,roads,minister for public works,E V Velu,14
Road widening request,roads,minister for public works,E V Velu,9
Road widening request,roads,minister for public works,E V Velu,11
Road widening request,roads,minister for public works,E V Velu,15
Road widening request,roads,minister for public works,E V Velu,9
Road widening request,roads,minister for public works,E V Velu,11
Road widening request,roads,minister for public works,E V Velu,15
Road widening request,roads,minister for public works,E V Velu,17
Road widening request,roads,minister for public works,E V Velu,11
Road widening request,roads,minister for public works,E V Velu,14
Road widening request,roads,minister for public works,E V Velu,14
Road widening request,roads,minister for public works,E V Velu,17
Road widening request,roads,minister for public works,E V Velu,9
Road widening request,roads,minister for public works,E V Velu,11
Road widening request,roads,minister for public works,E V Velu,17
Road widening request,roads,minister for public works,E V Velu,15
Road widening request,roads,minister for public works,E V Velu,10
Road widening request,roads,minister for public works,E V Velu,11
Road widening request,roads,minister for public works,E V Velu,14
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,17
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,19
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,20
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,14
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,21
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,15
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,17
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,22
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,16
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,19
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,22
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,14
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,21
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,21
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,17
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,20
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,15
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,21
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,22
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,20
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,13
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,15
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,18
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,15
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,22
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,17
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,22
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,16
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,13
Sports training facility issue,sports,minister for environment-climate change and youth welfare and sports development,Siva V Meyyanathan,21
